,text,labels
201,    u bitches could neva get him to buy all dem snacks fuk wit me,offensive
202,damn lol censored     redskins bitch lets fucking go fuck the eagles we bout to burn that bitch down httr,offensive
203,this niggah aaron had me weak last night,offensive
204,  haha bitch,offensive
205,    joey badass said traded in my nikes for a new mic i guess it is safe to say he sold his soles for a new life,non_offensive
206,    aw fag do not tweet aw to me lol,offensive
207,aint it a bitch when one of the people you get so excited hearing from sends the shortest most closedended thing ever ugh let down,offensive
208,i am lactose and hoe nigga tolerant,offensive
209,    anyone and everyone can have my ex fuck that hoe,offensive
210,  ima call you of a different number cuz moms still on sum hoe shit,offensive
211,good luck coming to see us in vegas that is where all the bitches are at  ,offensive
212,    throw me a blunt bitch,offensive
213,tongue inside her pussy or dont bother eating her,offensive
214,    top 5 thot tattoos 1 dream catchers 2 bird feathers 3 inspirational quotes that they dont live by 4 animal p ,non_offensive
215,  i am tired of bitches saying i look mean   nigga you big af wear tight shirts and grim everybody,offensive
216,  hoes be like omg i love my new comb   httptconuyjux1sk3  thought this was perro,offensive
217,    pnd vocals so trash lmao,non_offensive
218,hope you find a bitch with some ass that satisfies ya needs,offensive
219,    nah son we ca go half if it was my girl bitches be wanting to spend 400 and up on some fake hair,offensive
220,    meanwhile in canada a monkey in a winter coat escapes in an ikea httptcoq9yuyvel via  ,non_offensive
221,    if my tweets offend you1 stop being a sensitive pussy2 fuck your feelings,offensive
222,i am surprised i am still at school tbh i can be quite the retard at times i am either exceptional at a subject or absolute shiteee,offensive
223,    bitches hanging in the salty spatoon tweetin y cannot i find a good guy ,offensive
224,    cant turn a hoe into a housewife,offensive
225,    rip   to the hoes  dying for attention,offensive
226,        good pussy have a nigga like httptcouy6r3zxxnm funniest thing i have ever seen on  ,offensive
227,    pussy niggas do not get no pussy nigga,offensive
228,  finger my throbbing pussy flaps,offensive
229,dealing with your bitch ass is so annoying,offensive
230,  bitches love sosa  ,offensive
231,  stop calling her a bitch crystal voice,offensive
232,    cannot no bitch tell me a nigga not mines until she ready to tell me how tf he hers    it is levels to this shit   ,offensive
233,    mannn let bosh hoe ass hit that 3,offensive
234,im a twat,non_offensive
235,creeping death still stuck in my head bitch,offensive
236,  females that tweet all the dayum day r hoes that need attention    ,offensive
237,this game pissing me off including that bitch,offensive
238,  shut up bitch it ainn complete witout money melle n it,offensive
239,  find one where be beat nathan moons head into the ice too ol andrew is straight trash as far as hockey,non_offensive
240,maybe reluctantly but they have done it what does this mean for a discrimination law in the state culturally for queer people in the state,offensive
241,this pussy dryer than yours     drier vs dryer ,offensive
242,  someone on facebook made a status defending him so i dropped a bomb full of knowledge on that bitch and unfriended,offensive
243,  lol i would have beat that hoe up,offensive
244,i feel sorry fo niggas dat gtta make up shit to lie about i would hate to have to think that fuckin much ,offensive
245,every lady aint no hoe but every lady sure aint no queen,offensive
246,    same bitches that diss me gone still be here to eat my dick when they see that check,offensive
247,      haha the little shit talkier brought his other bitch,offensive
248,hugh heffner gonna be on life support still gettin pussy,offensive
249,my bitch bad she from the islands,offensive
250,  cause of the loads of pussy you get right,offensive
251,  brian stfu   its twitter i could retweet anything  make me bitch slap you again  ,offensive
252,dear ugly hoes stop playing hard to get you are already hard to want,offensive
253,the homie reallly love fat bitches   like in love,offensive
254,    i have not watched part 2 of the reunion i am so over them hoes i do not even care,offensive
255,literally just got shit on by a seagull you are gonna fuckin die bird,offensive
256,the dean a hoe how she fucked home and his bro,offensive
257,    this bitch needs to be ray rice would httptcotx51afhddf,offensive
258,    u need to be in someones church negro  absolutely right but i work sundays but still no excuse,offensive
259,i do not care how old i am when you put me in front of a bag of takis i will eat that bitch,offensive
260,    since day 1 u remember tha bitches in alabama lmfaoo  ,offensive
261,i give off the selfish little bitch vibe but if you get to actually know me i tend to put others before myself 247,offensive
262,    andrew bynum got traded and then they waived him the very next day a nigger cannot keep a job,offensive
263,    cruising down the street in my 64 jockin the bitches slappin the hoes,offensive
264,yankees getting killed,non_offensive
265,  i drive illegally retard,offensive
266,    bitches be like if you come over were not fucking but it happened amp she shaved bitch knew wassup  ,offensive
267,  watch prust tries to hit hank during break play httptcofz6lxcs3ok    pussy attempt by a pussy  ,offensive
268,    dese hoes aint loyal  walmart           bruh httpstco3nkvbpr9qr,offensive
269,    just because you not official doesnt mean you can act like complete trash and be free from acting like a decent human being,non_offensive
270,  what is the symptoms for ebola my stomach been hurting b i am nervous  you better not be we was drinking out same bottle,offensive
271,home to chicken and penne alfredo and oreos and banjo,non_offensive
272,  you have been talking trash since we were 3 and 5,non_offensive
273,cannot trust these hoes and when i say hoes i mean dudes to,offensive
274,  waka tammy just got her ass beat httptco9in5iysnpi  ctfu how niggas be they do not ever have they bitch back  ,offensive
275,  all people ever do on twitter is bitch get a mother fuckin diary ,offensive
276,    i swear these bitches think their still in highschool,offensive
277,blah blah blah blah how it sound when these bitches talk  ,offensive
278,    trying to download ios 8 but my phones a bitch,offensive
279,dude why do i have to be such a bitch like i am confused,offensive
280,if you are having girl problems i feel bad for you son i got 99 problems but a bitch aint one ,offensive
281,  you wish niggah,offensive
282,    lightskin bitches crying they aint got no valentine bitch maybe you should have read some of them 400 unreads msgs yo ,offensive
283,i do not put nothing pass nobody when it comes money n pussy,offensive
284,already scratched off mines     paying for pussy still on my bucket list,offensive
285,i hope charlie brought the lube for this test,non_offensive
286,go utes you got playboy bitches disrespectful players and a bunch of spoiled hipsters at your school so i am cheering for you  ,offensive
287,lmao joe was calling whitehouse offering advice yeah the president cares what a disgraced former redneck house guy from fl says  ,non_offensive
288,i was flying down the slope and just rammed into this small asian boy kid got up like a champ and walked it off,non_offensive
289,first thing to do when you meet a famous starsell my hoe,offensive
290,  yass bitch yass  ,offensive
291,    playoff hockey sucks dude have a snickers you are retarded when you are hungry,offensive
292,inbed eating left over poppadom  ,non_offensive
293,shut up hoe,offensive
294,you can only say the word negro if it is attached to the word league then we are totally cool guys,non_offensive
295,she kept whispering in my ear jasmin you are so damn finei said bitch jasmin is over there,offensive
296,i was enjoying nicki minajs song anaconda until she said fuck skinny bitches lol nah bitch fuck you,offensive
297,      lol and your response was bitch do i like pregnant,offensive
298,      that boss ass bitch song got basics thinking they are models lmao    ,offensive
299,    if i did smoke i would not be smokin hoes out less they gettin fucked on,offensive
300,sundays are the day to chug through while everyone else around you is obsessing with what their fave football team does and fantasy league,non_offensive
301,i will go to class the last 30 minutes of that hoe,offensive
302,really out here tho bitch httptco0s8phidlge,offensive
303,    i just realised my library books are overdue if anyones looking for a bad bitch,offensive
304,      to that niggah   go follow,offensive
305,i aint neva care what ah bitch had to say bout me,offensive
306,y  saying you wouldn  eat her pussy more for me,offensive
307,the type of pipe to put rhianna to sleepexcuse me that bitch been on my mind all week,offensive
308,    stills get no pussy httptco6uowecbuqo  he is jus being rational  a fag,offensive
309,yo bitch look like a boogawolf,offensive
310,he said soul patch bitch  lmaoooo,offensive
311,    cause i am as free as a bird now and this bird you can not change  ,non_offensive
312,you got to be a bad bitch for me trip,offensive
313,    who is da we whitey,offensive
314,  big congrats to all i expect him to be blogging on rube chat in a few days now get some sleep you will need it,non_offensive
315,  that spear chucker hell no,offensive
316,  lmao brutal for the nigs who cannot get jobs lol,offensive
317,  money getting taller and bitches getting blurry,offensive
318,i hate ghetto bitches with a passion,offensive
319,    life is a bitch and harsh enough guys need a girl that will make them feel better and help relieve some of the stress  ,offensive
320,yea my bitch is crazy so what,offensive
321,is anything going down tonight besides my bitch,offensive
322,  fi shoots bean bag rounds at the guy  hurts like a bitch do not they,offensive
323,two foreign hoes iont like the basic,offensive
324,    thanks for ignoring me faggots i am locked outside    ,offensive
325,  alot of these bitches themselves aint shit eitherbirds of a feather flock together,offensive
326,    sometimes i turn my phone on loud to tweet just to hear the bird chirp    ,non_offensive
327,ebhgjhbgjbejfb i saw thisach websingle xxxxx8898 marylandunempinsand was like some bitch named mary landunem stole my money,offensive
328,i should gt a scurl ondeez hoes,offensive
329,    both you bitches go to sleep,offensive
330,    real tears           both these outfits trash but the dyke outfit got me weakkkkkkkk http ,offensive
331,swag fags who gags lml nd you all niggaz wanna ce swagged up foh i am gxxd i will stay g would up httptcog8nrvdmxqh,offensive
332,leap tall hoes in a single bound,offensive
333,happy birthday fag   love ya,offensive
334,never go full retard,offensive
335,    it is   bitch   artist of the year   httptco1meniz4urw,offensive
336,this hot ass black girl from twitter goes to wohs lol that is cray i thought she was some alias ass bitch from miles away,offensive
337,thinking bout gettin 500 put on my ears cuz i am getting money bitch,offensive
338,        nah lemme chill i love the bitches  like trick love the kids  amp you know this  ,offensive
339,oh i am back now 2nd vap do not fuck with this one bitches httptcof0tpxsupkx,offensive
340,  wtf mine was just a fried twinkie w powdered sugar i got hoed,offensive
341,    every time i come out im never with newwww bitches,offensive
342,  go text your other hoesme httptcowc5tr4uhs6   ,offensive
343,my baby lexy she is a whole aint shit bitch in the winter sorry ass rwd that is her only flaw still love you tho httptco5ugfhrdrxt,offensive
344,      slap it on her forehead the bitch needs a spankin discipline her ass  ,offensive
345,that mocha colored chick doegtgtgtgt think i fell in love ,non_offensive
346,    i feel a lot of ppl trash talking indie for all sounding the same but i think any genre you are not v into tends to sound th  ,non_offensive
347,  the biebs is getting fucked right in the pussy,offensive
348,why is baltimore so damn ghetto  ,offensive
349,      fox8 got dem bitches huh ,offensive
350,got these bad bitches waiting on me,offensive
351,gorgeous    calico maine coon cat httptcojalyl7h60f,non_offensive
352,karmas a bitch huh,offensive
353,  i am hurt imnot in it wtf fuck danielle that bitch,offensive
354,      my ears look good   httptcofp3r6mkbacbsa hoe in yo background,offensive
355,i got 7 as amp a b on my progress report amp i still be touchin bands   bitch get like me  ,offensive
356,    yall say why you dating lil girls like mature hoes just on a rampage outside,offensive
357,ugh like i hate when my momma get to talking all proper like bitch stfu,offensive
358,salute           spit on my chest like a nasty bitch,offensive
359,damn change change niccas,offensive
360,    niggas talk more than bitches these days,offensive
361,  hey fuk them hoes they prolly already have it,offensive
362,  fuckin hot gym pussy httptcozvymcxquta fuck yeah,offensive
363,let the niccas feel on her booty lmao    take her to the hood were they do most good,offensive
364,fuck you bruh ima look at your young bitch,offensive
365,dawg what the fuck happened to so and so where did they go too worried bout bitches and fashion they go missing in action,offensive
366,      you a sucka hoesucka hoe im succsess,offensive
367,  lol  all the kids that act redneck in oviedo,offensive
368,      how you all bitches gon breast feed wit nipple rings  ,offensive
369,    hulkamania is running wild on that pussy,offensive
370,    pop a molly why do not you hoes start poppin some birth control  ,offensive
371,      why do you call most guys that talk shit to you fags then you should use another word hypocrite,offensive
372,im in mickey ds and he gone ask for a double cheese burger wit no cheese  ,non_offensive
373,it is the dykes hunter dyke with a dyke httptcolgtw3awmeh,offensive
374,    white girls if your black boyfriend does not call you shawty then bitch you aint that special,offensive
375,cleanup bitch i just got off the phone with em,offensive
376,    breaking florida prolife gov rick scott defeats proabortion challenger charlie crist httptcogpr1hqlen2   http ,non_offensive
377,  and i replied hoe httptco738up5plia,offensive
378,  hoe fax  type yo bitch number in google to see if it pops up on back pagethank     ,offensive
379,    mcdonald employees always rolling their eyes when you pay with coins like bitch you broke af too fuck you giving me attitud ,offensive
380,  i be laughing when my ex be tryna stunt bitch you forgot i went with you i know what you got amp do not got  ,offensive
381,  dont even trip my niggah i got you lol,offensive
382,  lmao your just a dumb hoe that budden made popular please stop your irrelevant and no one cares about you slut,offensive
383,    then u have the annoying hit me i dare you ass bitches always tryna test a big ass 6ft linebacker ass dude girl if you ,offensive
384,  bitch i am gretchen weiners i do what i want,offensive
385,like she got a death touch     this bitch standing in front of me looking like rogue from the xmen,offensive
386,  i texted u fag,offensive
387,    dudes built like a crushed twinkie httptco1wsyi6gdvp,non_offensive
388,  shut up niglet,offensive
389,  starve bitch,offensive
390,just read this instagram profile luv my grls princesses by birth bitches by choice yeaaah youre cool    ,offensive
391,them squirrels are faggots b        httptco7xwop3y2,offensive
392,we aint gon talk bout yo partnas cuz dey aint shit like my niccas,offensive
393,i said middle school days as in the ghetto way people   and what i am nor here to impress you what are you go httptcoqypvikcrfy,non_offensive
394,  thats trash its ot,offensive
395,i see the same hoes,offensive
396,i love how my brother actually tries to understand his girl and see her point of view when they argue instead of being a bitch about it ,offensive
397,all these ratchet hoes be on tha same stuff ,offensive
398, lol nah hoes we dealt with it so will you all   httptcorxtjwwkfhj,offensive
399,  the bitch in the purple shorts and aqua beats,offensive
400,that pussy came gift wrapped,offensive
401,    if i see a bitch coming at me like this  that mean i got 12 seconds to get up and get right   hoethea sat there http ,offensive
402,  if you say one disparaging word about the charlie brown xmas special i will slash the tires on your car,offensive
403,  trenton gossman is the sexiest hillbilly i have ever seen   ,offensive
404,    amen on this tweet 105 mm rockets from victor charlie leave a lasting impression,non_offensive
405,    how to get bitches httptcoyuoqmghvbf,offensive
406,damn it be cold fo a colored man,non_offensive
407,look a you all makeup bitches  lookin like a ghost when ya wake up bitches,offensive
408,    after sex a bitch be like so what are we and you like probably parents cause i aint pull out,offensive
409,    these hoes sad man,offensive
410,  deserved victory   awaits your   army   was no disgrace   ill be back next time  ,non_offensive
411,i just want the bad hoes and i wanna reach the children,offensive
412,  lol imma look at a bitch ass if i wanna,offensive
413,    bagging thot bitches amp giving em head ew nigga you nasty amp you are better off dead,offensive
414,    these hoes aint loyal mane they rotate,offensive
415,video charlie baker remembers tom menino httptcovdaowlzksv,non_offensive
416,i be stalking hoes ,offensive
417,lmaoo       bruh make a song called uber and the hook can be that uber make that pussy wet,offensive
418,you want thingamabobs i got twenty bitch,offensive
419,    just cause i liked a photo from 32 weeks ago do not mean i am stalking you bitch you just do not look as good as you used to,offensive
420,  i wanted to see that but i like trash sometimes lol,offensive
421,      hoes always say they a rider bitch stfu and ride this dick  lmaoooooooooooooooooooo  ,offensive
422,          yeah i know it is jeffs book the one where he admits to beating prisoners and lying abo ,non_offensive
423,mane wtf i wake up look at da window it is showin like a mf outsidegood thing a nicca went to walmart yesterday good aone snacks,offensive
424,  i aint shit you aint shitbitch we meant for eachother,offensive
425,i am hungry i will not give a bitch a time or day i am trying take care business  ,offensive
426,if you do not know what yo bitch doing tuat aint you bitch im just sayin,offensive
427,superman your ho eyyyy,offensive
428,neva been a bitch nigga you do not want them problems bro,offensive
429,    you gotta have luuuuubeall ya really need is luuuube dental dam yankees,offensive
430,  nigga byeeeee lmfao i will be dammed if a fag stole my girl,offensive
431,    chantel is not a side hoe bc apparently she is lesbian im done with life all these months hating her for no reason,offensive
432,you like those honestly they tasted like the sole of my shoes       that is a shame,non_offensive
433,got your bitch with me right now,offensive
434,  got it thanks hun ima text u,non_offensive
435,  fag,offensive
